name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
lfnovo/open-notebook,https://github.com/lfnovo/open-notebook,37039,2024-10-21T17:58:46+00:00,2026-08-16T14:51:59+00:00,470,576,1.82,666.2,460,42,2.33,TypeScript,0.816
patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,37028,2024-10-21T10:43:24+00:00,2026-07-27T18:43:06+00:00,27,50,1.82,666.5,68,0,22.17,Jupyter Notebook,0.54
fastify/fastify,https://github.com/fastify/fastify,37004,2016-09-28T19:10:14+00:00,2026-08-18T19:52:11+00:00,2133,2184,9.89,3611.15,3448,322,0.12,JavaScript,0.9766
mouredev/Hello-Python,https://github.com/mouredev/Hello-Python,36975,2022-08-03T17:14:53+00:00,2025-08-11T12:00:01+00:00,404,444,4.04,1476.23,0,0,372.45,Python,0.9099
AobingJava/JavaFamily,https://github.com/AobingJava/JavaFamily,36973,2019-11-12T04:26:18+00:00,2025-11-03T12:37:27+00:00,60,66,6.77,2471.76,2,0,288.42,Undefined,0.9091
Textualize/textual,https://github.com/Textualize/textual,36969,2021-04-08T15:24:47+00:00,2026-07-11T06:02:34+00:00,2202,2434,5.36,1958.31,2311,223,38.7,Python,0.9047
babysor/MockingBird,https://github.com/babysor/MockingBird,36908,2021-08-07T03:53:39+00:00,2026-03-03T14:59:58+00:00,414,891,5.03,1837.79,82,1,168.32,Python,0.4646
soxoj/maigret,https://github.com/soxoj/maigret,36869,2020-06-27T14:16:42+00:00,2026-08-18T11:29:16+00:00,1577,1588,6.14,2243.35,1066,29,0.47,Python,0.9931
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,36829,2023-06-19T04:08:31+00:00,2026-08-18T22:34:54+00:00,1090,1224,3.17,1156.78,3892,1000,0.01,TypeScript,0.8905
shadowsocks/shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,36754,2012-12-16T13:40:29+00:00,2026-08-09T11:06:54+00:00,2458,2526,13.67,4993.38,258,186,9.49,Kotlin,0.9731
musistudio/claude-code-router,https://github.com/musistudio/claude-code-router,36717,2025-02-25T02:17:18+00:00,2026-08-18T07:46:43+00:00,389,1290,1.48,539.85,75,22,0.63,TypeScript,0.3016
Dokploy/dokploy,https://github.com/Dokploy/dokploy,36690,2024-04-19T07:49:30+00:00,2026-08-18T22:40:24+00:00,1638,2119,2.33,851.62,1680,170,0.01,TypeScript,0.773
ashishpatel26/500-AI-Agents-Projects,https://github.com/ashishpatel26/500-AI-Agents-Projects,36663,2024-12-20T13:37:15+00:00,2026-07-27T05:40:40+00:00,10,46,1.66,606.38,17,0,22.71,Python,0.2174
